"","D0","D24","D48","R3","R24","gene_length","ExonN","Paralogs"
"12737",5.88454408765814,5.9918998832862,6.0785504648247,5.50249604835034,5.89918676768691,833,3,"O"
"12738",11.3019598132689,10.7381432342804,11.4293849455441,10.3562766925478,10.6442318991287,1019,3,"O"
"12739",3.18081615867961,2.92687823180411,3.60617596076355,2.49310026615592,2.75653914086158,1439,2,"O"
"12740",2.61708615037216,1.25994548544575,1.49064122859489,2.94071150860119,2.78884706409513,6798,11,"O"
"12741",0.814649810695302,1.31674353837592,0.882983564615179,1.28921534353771,1.72940364580278,1449,2,"O"
"12742",5.80060737926082,6.05130726614848,6.31619263279419,6.49985553276982,5.49315786644982,2432,7,"O"
"12743",2.82881930836859,3.10586441599663,2.25090643084944,4.31763272365196,2.90031380339707,899,2,"O"
"12744",3.9283829178918,3.93984191264412,3.49922101127503,4.63503201598022,4.05486907932836,2193,6,"O"
"12745",5.07247251165684,4.64667088328363,3.42267026489453,6.10714303030314,6.08842606264247,3634,8,"O"
"12746",3.97894335469018,4.16812675662457,4.18163048030961,4.33127888573852,3.98734618281475,523,2,"O"
"12747",-1.02070318819506,-1.77487785822288,-1.17351437430707,-1.98096804855154,-0.15043610408773,6691,5,"O"
"12748",2.78671491746517,2.85781515976416,2.42610695104412,3.0719594028252,2.48084275826205,2492,2,"O"
"12749",4.03301012768659,4.29346903694342,4.41823129600357,5.06215341888194,3.76101123641681,2592,2,"O"
"12750",2.72932576498521,4.10368598520273,4.32171365398944,5.32389171076052,3.7288213115105,345,2,"O"
"12751",6.78109151372114,7.73438376823901,8.53399517474988,7.64795149374841,7.08338944496724,934,3,"O"
"12752",4.72331958167708,5.14290973777659,4.06205362769169,4.48014230021805,4.8118788521443,576,2,"O"
"12753",-3.03487657046304,-2.46414883854561,-2.2065808527254,-2.01067436665291,-2.18846339672627,2969,4,"P"
"12754",4.80018273746846,4.68898787371586,3.8612922979438,3.92214316759351,4.67360590762953,1853,7,"P"
"12755",4.46453075911062,4.08195886212794,3.42554330396245,3.14267145792634,3.61068956430236,1312,3,"P"
"12756",5.51524656423096,5.04116565685724,4.33536518533456,4.68654365194459,5.38628799497057,1361,3,"P"
"12757",7.79924168228529,7.43298017018122,7.50004612241909,6.55089856050512,7.6506405785237,441,2,"O"
"12758",4.7147006465728,5.17316896222225,4.46084995894733,5.14788124784345,4.91433857659707,718,4,"O"
"12759",8.22784179921491,7.97459970620385,8.04879540980699,6.96817205308935,7.43706443369894,815,3,"O"
"12760",1.57152844494737,1.90444626775395,1.54901667435305,1.31904271070666,1.58903502283935,1619,2,"P"
"12761",3.8822747658909,3.98909847713549,5.02488640621111,4.50005421808304,4.0412084728486,7324,27,"P"
"12762",3.94232545672893,4.01079612580248,2.72616184190958,4.14522096938572,3.87319107224129,388,3,"O"
"12763",4.72071589681985,3.02118638745396,1.79876416099916,0.8845272096889,3.97453102302901,2936,4,"P"
"12764",1.59867673416983,2.48221633922943,4.03664491880469,4.00650070088884,2.13307906566987,708,2,"P"
"12765",-1.23337369851071,-0.465599865215763,-1.42921587590043,-0.0807260870237682,0.128805757631863,884,3,"P"
"12766",2.32707052496195,2.63633592181906,1.50163943039509,2.22144120102532,2.73864206249204,1099,2,"O"
"12767",-0.760248213371454,-1.6455926577956,-2.0433693212757,-1.2697502192455,-1.42846072925603,2424,9,"O"
"12768",0.550045143972694,0.606110668123155,1.48238263800615,0.557901018180329,0.581230394555831,4875,9,"O"
"12769",0.878321439681219,0.530964581588033,0.577378584750235,0.770042711068375,1.45145775992288,1141,6,"O"
"12770",0.932970016537575,1.36430159696004,3.06130997056525,0.219708326964309,1.23987561947964,1194,5,"P"
"12771",0.743482637245002,1.33883547537847,2.01024171018199,0.216515178349029,0.733331079765162,1162,2,"P"
"12772",4.6241002127927,4.45461509464322,4.66827105475817,5.36947435028135,5.11317370109619,6122,11,"O"
"12773",5.3771065311022,5.4566379619408,5.7298987127345,5.46101257922014,5.14802624557132,1027,3,"O"
"12774",2.41265060916984,2.15204038271665,2.6884928929317,2.21664556035191,2.31622727344836,1974,3,"O"
"12775",4.71065579255281,4.70884774140934,4.12121503646364,5.22588307764452,4.87844336603012,1689,5,"O"
"12776",0.919164431267763,1.03467854007162,2.2574470979273,1.07601115912192,1.92510258018678,1258,3,"O"
"12777",2.1452425080593,0.968292541669589,1.99631741774663,1.13828811056569,1.50188076108343,2259,3,"P"
"12778",-2.55901400000874,-2.55901400000874,-2.55901400000874,-2.3801768402217,-2.55901400000874,920,3,"P"
"12779",-1.97106609187351,-1.67276505218008,-2.26722595900114,-2.29250487224984,-2.08017126073569,2586,4,"O"
"12780",1.88850339960169,0.862418360051382,1.30552006383845,2.42203743602294,2.39797376068015,1095,3,"O"
"12781",2.537115443006,2.81398823811116,2.83656607565409,3.91675309497974,2.1106478886309,2131,5,"O"
"12782",2.10538227850992,1.41148635509839,3.02361058469398,0.234497586402147,1.02355171167966,518,3,"P"
"12783",4.96635857524183,8.20594816398563,8.40733022818002,7.57864309496308,6.68503456019667,1271,5,"O"
"12784",5.37972903094645,5.51533402948876,4.73091263706006,7.94920431647532,6.44302717763673,1774,7,"O"
"12785",3.62450425645943,4.59117966311902,4.0819350393974,4.5845023073448,4.0700786000604,2170,3,"P"
"12786",3.46049652505151,-0.12262927684783,0.295688551766083,3.45076234354397,0.564125576446958,319,2,"P"
"12787",7.55008097182857,6.28647965598354,3.54372101728634,4.89090401045554,6.18789073115372,640,4,"P"
"12788",-2.60240659552212,-2.60240659552212,-2.20788671900021,-2.60240659552212,-2.33719815346296,993,3,"P"
"12789",0.784435058981528,0.75404976798255,0.00196067381424586,1.86084966177429,2.61958447741541,633,4,"P"
"12790",7.84669189887121,7.20723489754606,5.71345682220902,5.81206256310833,7.81256438682494,627,4,"P"
"12791",-1.58427110549091,-0.938347857887805,-1.86478631033631,0.0102489913382711,0.224583492736859,11233,3,"O"
"12792",1.75911706327098,1.2158331502917,0.829191025768459,2.49570064988321,1.74197136376075,1641,7,"O"
"12793",5.40734465829677,5.29861237059089,5.46010347808451,6.06301389037256,5.16918507864574,10031,16,"O"
"12794",3.82571088787771,4.50758046568148,6.60693379110474,5.65308081511483,3.1977785190649,2717,3,"O"
"12795",2.84687746802955,3.15898265156263,4.13121787319765,4.50326439299179,3.10671891860427,1806,2,"O"
"12796",6.01153473852267,6.72935057445511,7.90473865712248,6.78789719765151,5.70313204099408,903,5,"O"
"12797",1.21676095120677,1.61560022739993,2.84910144683203,2.19963724299854,1.1122511220409,1399,3,"P"
"12798",-0.138919632948109,-0.0599139520925965,0.796171053032932,-1.26256310894794,-0.800758498441092,29220,9,"P"
"12799",6.21684148662083,5.1442325989196,4.55004587331662,4.24442237309361,4.96009998773002,1622,3,"P"
"12800",-3.45928165342352,-3.16395404318017,-2.81117102598675,-3.01783263681177,-3.45928165342352,1576,3,"P"
"12801",5.08116115736658,4.08900360047928,3.74097721208974,4.21793087487571,4.69159260207326,2702,8,"P"
"12802",6.25520241771012,5.37929042057189,3.29884043622756,4.87014171444649,5.76431257400881,1508,6,"O"
"12803",5.36447990436674,5.26251203203244,5.94074003615611,5.24590881963655,5.31018961218855,1164,5,"O"
"12804",3.6546810792377,3.21656523133457,4.27107213484726,3.32626997916942,3.23949238638076,929,5,"P"
"12805",1.42388576556351,0.743163459587982,0.384980630754044,0.340451630450824,1.46021387695921,1180,5,"P"
"12806",0.353083179374036,-0.812272630334294,-0.684776036181085,-1.06184936237073,-0.157643588597213,1099,3,"O"
"12807",4.57107062219857,2.79693352310851,-0.399553926766187,3.73618695080625,3.60665641582509,1484,5,"P"
"12808",3.54982758079603,4.37667196687672,3.65264058960928,2.58144683778011,3.8629702628877,3842,6,"O"
"12809",0.420815660592936,-0.208134860389594,-0.391415500741136,1.06147930196439,0.131473911829164,1174,3,"O"
"12810",-0.55997804367649,-0.869817519415837,-0.219822781186598,2.03403551186892,1.04005397267113,2174,7,"P"
"12811",4.44401217898995,2.49326921112971,-0.175064173559524,3.62806264760288,3.58426403344859,1961,8,"P"
"12812",4.89170418795168,2.63133371140944,0.29223250456439,3.68330515533747,4.06186200905106,788,3,"P"
"12813",-0.0442173978778834,-0.657061572144549,-0.0390488057675338,2.10254346387459,1.02677113148214,8726,7,"P"
"12814",1.02085378228424,0.168488463091587,0.2698385436768,1.06316203558104,1.5512912897919,9459,8,"O"
"12815",3.43152117998404,3.97122869537961,3.38625257256459,2.25128603207887,3.64409057510587,2617,7,"O"
"12816",-3.34608658791319,-3.80077877989314,-2.71242382419861,-3.58175578363264,-4.16877517718588,4228,3,"P"
"12817",-1.42040876177923,-1.42040876177923,-1.42040876177923,-1.42040876177923,-1.42040876177923,605,2,"O"
"12818",2.01081719585009,1.15989022727532,0.83204854186982,-0.0700027357079083,2.97105609350418,3393,8,"P"
"12819",7.13806908915603,5.0717121695411,5.44413919875619,3.38926927624728,6.48171866933,4274,7,"O"
"12820",5.32398151904966,3.89932218556728,4.45902742763013,2.33127070822156,4.01839530858086,692,2,"O"
"12821",4.19278078442637,4.58957456873718,4.28040479105431,5.22855793021487,4.78210626965632,661,3,"O"
"12822",10.0754415176923,10.4576899498428,10.3106413445754,9.60606358194821,9.79731157823962,916,3,"O"
"12823",2.75046678061537,5.75050146626772,6.72976781454335,5.69904384575987,1.59111311860333,492,2,"O"
"12824",3.30312780159639,3.14860617405602,4.64757422709936,4.37926405702106,3.46360033390809,23112,10,"O"
"12825",-1.48787111084414,-1.65353324289455,0.495036173175418,-1.72655484818947,-2.51026506277462,4495,7,"O"
"12826",7.73069695529972,7.86553113473243,7.518741413303,6.83294489874266,7.44406975983296,826,4,"O"
"12827",6.34619301107228,6.47615258220043,6.74886100285414,5.69023721889515,6.11432840600738,779,2,"O"
"12828",5.86610333198206,6.62439211469319,7.08972123992903,6.09587411728615,5.77125678966154,1261,2,"P"
"12829",3.59363476482205,4.19984229988942,3.85552312228297,4.39600598237608,3.92645247225281,1244,2,"O"
"12830",4.73252917097904,5.04728170454927,5.37712024983041,4.95561140135879,4.85266093089452,4292,18,"O"
"12831",2.46172502502493,1.73693553451764,2.47190259743281,2.1841536955243,2.95971586557061,11727,9,"O"
"12832",3.5943674912512,3.61454379746423,3.50075903816415,3.35829623178999,3.57418644401604,6798,10,"O"
"12833",7.85399816910812,7.68250532396987,8.58485886702099,7.03476649711618,7.29373535375988,1236,3,"O"
"12834",4.72255746891585,4.58371636239965,5.0989595886246,4.68388137093317,5.00070403652888,2082,3,"P"
"12835",3.11573525065616,3.22156076345836,2.64238491670089,3.08573947770965,3.35749951303035,1793,2,"P"
"12836",3.69337866010901,3.65293479430681,3.53621448359899,2.95528663260796,4.03729667468756,9330,6,"O"
"12837",1.76341835639502,1.96120557403069,1.48154800745773,3.38224145240263,2.30909870781176,2023,4,"P"
"12838",4.02393099814493,3.07566744862031,4.22627834379111,5.48288497465974,4.24337288862682,6469,10,"O"
"12839",1.96322187815258,2.34164163786365,3.54158206750312,2.98735703792532,2.01972689162794,5028,6,"O"
"12840",7.8105879827618,7.32570931441591,8.03088175140495,7.90410772209635,7.34289931251002,3850,7,"P"
"12841",-0.268103312518656,0.115943325078012,0.77396757924449,-0.766780393544802,-0.745616613461763,1630,5,"O"
"12842",1.63246942018182,1.37502325810356,2.0957888780336,1.79175736237666,2.23141519081447,15655,5,"P"
"12843",2.25812682844056,2.32695205336478,3.1425472421675,2.62672627167669,3.05746321564098,6930,11,"P"
"12844",5.69546766132959,5.58464963236401,5.7489067309691,5.45646974163414,5.3765388051896,10324,7,"O"
"12845",5.75499922773118,6.51333396448982,6.95744975712834,6.03858009107397,6.11552571990649,529,3,"P"
"12846",5.14502135501671,5.7660527453593,7.83692004790955,6.25420545296336,5.03128221090652,3484,6,"O"
"12847",1.45943992600597,1.10385722621849,0.816006152758534,1.5483299042188,2.19937921360419,3037,10,"P"
"12848",7.4474241687712,5.29591108435701,3.50675751754991,2.17587058651128,5.43591966098445,2796,7,"P"
"12849",2.34435599179626,1.44561613212416,-0.980494411099926,-0.394111375431046,1.14642881327413,2244,3,"P"
"12850",5.45023562111341,6.06087099529845,5.475925840024,3.45549451311215,5.70688746924976,2230,3,"P"
"12851",-0.0743598209423425,1.93305020458705,1.65595492096321,1.47430025081239,0.891569057536861,1492,3,"P"
"12852",2.4758055950623,3.08664793409801,3.26218646608075,1.85037601294807,2.70995975943958,837,4,"O"
"12853",7.807498074284,9.31452961293315,10.7196671068739,8.46886521786759,6.82088996040567,2784,8,"O"
"12854",5.02642021301838,5.37768070220006,4.99976717435534,4.88496701633115,5.27027077259469,1164,4,"O"
"12855",7.82620247850602,6.94677040070036,6.22179860235494,6.38106370383274,7.68493684391879,2849,14,"O"
"12856",5.19739983576697,4.82808673298512,5.54019537674312,5.27034347981797,4.83935327670317,4472,6,"O"
"12857",7.04187595206882,7.32516441456822,8.24820217799483,7.4279783352738,6.63495923488585,1157,3,"O"
"12858",4.547975817705,4.67813819614557,3.82109368889616,3.57894694800295,4.63642443621769,583,3,"O"
"12859",6.07604693738234,6.04221353276516,5.31423759676303,4.63014886790128,5.72000977576023,2881,7,"O"
"12860",3.46211566183723,3.97072532007548,4.54190469793066,4.07222806112629,3.26212043911144,2786,8,"P"
"12861",-0.28938607254935,0.0205432071576631,1.06781386759924,2.10036188592123,0.411693383704402,2292,11,"O"
"12862",1.81750881214242,1.93678999210371,3.97328423791196,2.48287410319751,1.68151477423982,2440,3,"O"
"12863",3.43689041268227,2.99610454916495,4.28974277335687,3.74930752443835,3.80183899381664,46116,13,"O"
"12864",3.40649720639897,3.36759744374881,2.16828237737126,3.15528269839273,3.15325418761633,597,3,"O"
"12865",4.87111294163469,4.41760922873056,3.8581818271047,3.54686304523605,5.1025044140884,3402,3,"P"
"12866",4.69630285680143,4.61697582494704,4.37568043562173,4.41702469302646,4.34686401229678,3444,7,"O"
"12867",-0.445643963011414,0.599618506030432,0.364986010770925,-0.786981713445626,-0.132156709514749,5454,23,"O"
"12868",2.0980989099901,2.53071090991312,1.93898369141879,1.49296754476906,2.43127559883073,19616,52,"O"
"12869",0.751548876447848,1.73294512305013,0.984526666307497,0.58126368273103,1.2343612976696,5802,9,"O"
"12870",4.91071929022987,4.52067268793923,4.68878941929494,4.81210226461583,3.99562891149514,3003,6,"O"
"12871",3.89306558746827,2.49411513907008,3.47598156710644,2.59688157700088,3.42264632153,637,3,"O"
"12872",7.48666170734362,9.49521993423726,9.092911276221,7.0424715743026,5.64774020991526,2360,4,"O"
"12873",5.00828668738519,5.3872539373514,4.73876295816793,5.43926547018733,5.23372506436428,1456,7,"O"
"12874",4.92990801359987,6.12203616987377,5.60273772906733,5.63285646389358,4.99019856741365,750,4,"P"
